kms_driven,fuel_type_subs,seller_type_subs,transmission_subs,owner_subs,cars_age
11500,4,1,1,0,10
40000,4,1,1,0,13
1300,4,1,1,0,5
7000,4,1,1,0,6
3000,4,1,1,0,5
5000,4,1,1,0,5
11000,4,1,1,0,5
18000,4,1,1,0,7
3500,4,1,1,0,5
500,4,1,1,0,6
11800,4,1,1,0,5
5000,4,1,1,0,7
16000,4,1,1,0,9
15000,4,1,1,0,6
16600,4,1,1,0,7
32000,4,1,1,0,9
20000,4,1,1,0,6
29000,4,1,1,0,7
25000,4,1,1,0,6
25000,4,1,1,0,8
19000,4,1,1,0,10
15000,4,1,1,0,8
58000,4,1,1,0,7
45000,4,1,1,0,12
24000,4,1,1,0,6
6000,4,1,1,0,11
31000,4,1,1,0,6
13000,4,1,1,0,10
45000,4,1,1,0,9
8000,4,1,1,0,8
4300,4,1,0,0,5
15000,4,1,1,0,5
23000,4,1,1,0,7
8600,4,1,1,0,5
4000,4,1,0,0,5
24000,4,1,1,0,11
23000,4,1,1,0,8
14500,4,1,1,0,10
27000,4,1,1,0,12
14000,4,1,1,0,6
500,4,1,0,0,6
1000,4,1,1,0,6
42000,4,1,1,0,8
12000,4,1,1,0,9
14000,4,1,1,0,7
5500,4,1,1,0,10
6700,4,1,1,0,7
13700,4,1,1,0,8
1300,4,1,0,0,5
75000,4,1,1,0,11
30000,4,1,1,0,11
24000,4,1,0,0,6
19000,4,1,0,0,8
213000,4,1,1,0,12
60000,4,1,1,0,10
50000,4,1,1,0,6
30000,4,1,1,0,9
21000,4,1,1,0,9
26000,4,1,1,2,14
1900,4,1,0,0,14
32000,4,1,1,0,9
18000,4,1,1,0,9
55000,4,1,1,0,17
60000,4,1,1,0,14
25000,4,1,1,2,10
49000,4,1,1,2,15
24000,4,1,1,2,9
50000,4,1,1,0,14
35000,4,1,1,0,7
500000,4,1,0,0,14
33000,4,1,1,0,12
35000,4,1,1,2,11
53000,4,1,1,0,15
92233,4,1,1,0,16
58000,1,0,1,2,12
28200,4,0,1,0,7
53460,4,0,1,0,11
28282,4,0,1,0,7
3493,4,0,1,2,6
12479,4,0,1,0,5
3435,4,0,1,0,5
35775,4,0,1,0,10
43535,1,0,1,0,7
22671,4,0,1,0,6
31604,4,0,1,0,11
20114,4,0,1,0,5
36100,4,0,1,0,10
15000,4,0,1,0,6
45078,4,0,1,0,8
36000,4,0,1,0,10
38488,4,0,1,0,5
77632,1,0,1,0,8
61381,1,0,1,0,7
36198,4,0,0,0,9
24678,4,0,1,0,7
57000,4,0,1,0,11
60000,1,0,1,0,10
52132,1,0,1,0,10
45000,1,0,1,0,9
15001,4,0,1,0,5
12900,4,0,0,0,7
53000,1,0,1,0,9
4492,4,0,1,0,7
15141,4,0,1,0,5
11849,4,0,1,0,6
68000,1,0,1,0,7
60241,4,0,1,0,9
23709,4,0,1,0,10
32322,1,0,1,0,10
7000,4,0,1,0,6
49000,1,0,1,0,9
71000,1,0,1,0,10
35000,4,0,1,0,10
36000,4,0,1,0,7
17000,4,0,1,0,6
35934,1,0,1,0,6
31427,4,0,0,0,7
48000,1,0,1,0,8
54242,4,0,1,0,9
53675,4,0,1,0,10
49562,4,0,1,0,6
40324,4,0,1,0,7
25000,4,0,1,0,7
36054,4,0,1,0,8
29223,4,0,1,0,6
5600,4,0,1,0,6
40023,4,0,1,0,7
16002,4,0,1,0,6
21200,4,0,1,0,5
35000,4,0,1,0,8
19434,1,0,1,0,6
19000,4,0,1,0,5
18828,4,0,1,0,7
69341,4,0,1,0,11
69562,4,0,1,0,13
27600,4,0,1,0,7
61203,4,0,1,0,12
30753,4,0,0,0,6
24800,4,0,1,0,7
21780,4,0,1,0,7
40126,4,0,1,0,8
14465,4,0,1,0,7
50456,4,0,1,0,16
63000,1,0,1,0,8
9010,4,0,1,0,6
9800,4,0,1,0,9
15059,4,0,0,0,6
28569,4,0,1,0,6
44000,4,0,0,0,7
34000,4,0,1,0,7
10980,4,0,1,0,6
19000,4,0,1,0,8
31427,4,0,1,0,7
12000,4,0,1,0,6
38000,4,0,1,0,12
33019,4,0,1,0,8
60076,1,0,1,0,7
33988,1,0,1,0,6
60000,4,0,1,0,7
87934,4,0,1,0,13
9000,1,0,1,0,5
5464,4,0,1,0,6
70000,4,1,1,0,15
50000,4,1,1,0,15
46000,4,1,1,0,5
141000,1,1,1,2,8
125000,4,1,1,0,15
60000,4,1,1,2,8
25000,4,1,1,0,7
78000,0,1,1,0,5
35000,4,1,1,0,7
100000,4,1,1,0,8
25000,4,0,0,0,4
70000,4,1,1,0,15
50000,4,1,1,0,15
100000,1,1,1,0,10
46000,4,1,1,0,5
141000,1,1,1,2,8
125000,4,1,1,0,15
25000,4,1,1,0,6
60000,4,1,1,2,8
25000,4,1,1,0,7
78000,0,1,1,0,5
35000,4,1,1,0,7
100000,4,1,1,0,8
25000,4,0,0,0,4
24000,4,0,1,0,7
5000,1,0,1,0,3
33000,1,1,1,2,9
28000,1,0,0,0,8
59000,1,0,0,0,9
4500,1,0,0,0,4
175900,1,0,0,0,11
14500,4,0,1,0,4
15000,4,1,1,0,4
50000,1,0,0,0,9
33800,1,0,0,2,10
130400,1,0,0,2,11
50000,4,1,0,0,6
80000,1,1,1,0,7
10000,4,1,1,0,3
119000,4,0,0,0,12
60000,4,1,1,1,8
75800,1,0,0,2,9
78000,1,0,0,4,13
40000,1,1,1,0,10
50000,1,1,1,0,8
74000,1,1,1,2,8
64000,4,1,1,2,8
60000,4,1,1,2,10
120000,1,1,1,2,13
79000,4,1,1,4,13
15000,4,1,1,0,3
80000,4,1,1,0,16
18500,1,0,1,0,5
10200,4,0,1,0,4
29000,1,0,1,0,4
28000,4,0,1,0,4
46000,1,0,1,0,6
70000,1,0,1,0,8
35000,1,1,1,2,26
90000,1,0,1,0,8
80000,4,0,1,0,9
80000,1,1,1,0,17
73300,4,0,1,2,8
92000,1,0,1,0,8
66764,4,0,1,2,13
100000,4,1,1,0,13
350000,1,1,1,2,12
230000,1,1,1,0,11
31000,4,1,1,0,4
39000,1,1,1,0,15
120000,1,1,1,4,13
110000,4,1,1,4,16
35000,1,1,1,0,5
60000,1,1,1,0,4
54000,4,1,0,2,15
63000,4,1,1,2,12
120000,1,1,1,2,8
120000,4,1,1,4,17
76000,4,1,1,2,8
80000,1,1,1,0,7
25000,1,1,1,0,3
11958,4,0,1,0,6
20000,4,0,1,0,7
9000,4,0,1,0,5
6500,1,0,0,0,5
70000,1,1,1,0,7
58000,4,0,1,2,15
62200,1,0,1,0,9
34000,1,0,0,2,8
53000,1,1,1,2,7
49000,1,0,0,0,9
15000,4,0,1,2,5
50000,4,1,1,0,9
63500,4,0,0,0,13
9800,4,0,0,0,4
21000,1,0,0,0,4
29173,4,0,1,0,14
48000,1,0,0,0,10
120000,1,1,1,0,5
100000,1,1,1,0,12
30000,4,1,1,0,5
87000,1,1,1,0,4
15000,4,1,1,0,3
16000,4,1,1,0,5
60000,1,1,1,0,10
60000,4,1,1,1,12
110000,4,1,1,4,11
25000,4,1,1,0,5
60000,1,1,1,0,6
79350,1,1,1,2,8
80000,4,1,0,0,6
90000,1,1,1,2,8
60000,1,1,1,2,9
50000,4,1,1,0,18
20000,4,1,1,0,4
50000,4,1,1,2,10
100000,1,1,1,0,10
70000,1,1,1,2,6
70000,1,1,1,2,6
50000,4,1,1,0,6
81000,1,1,1,2,12
120000,1,1,1,4,10
3600,1,0,1,0,7
14272,4,0,1,0,7
49213,1,0,1,0,5
40000,4,1,1,1,24
80000,4,1,1,0,10
70000,4,1,1,0,7
70000,1,1,1,0,11
57000,4,1,1,0,19
30000,4,1,1,0,17
3240,4,1,1,2,9
5000,4,1,1,0,7
10000,4,1,1,0,4
100000,1,1,1,0,7
80000,1,1,1,0,6
70000,4,1,1,0,20
35000,1,1,1,0,4
114000,4,1,1,2,15
53772,4,1,1,0,14
140000,1,1,1,2,10
120000,1,1,1,0,7
60000,4,1,1,0,10
25000,4,1,1,0,6
90000,3,1,1,0,8
120000,4,1,1,0,2
175000,1,1,1,0,7
100000,4,1,1,4,11
36000,4,1,1,0,8
30000,1,1,1,0,9
40000,4,1,0,2,12
70000,4,1,1,2,9
60000,4,1,1,0,5
155500,1,1,1,0,11
50000,4,1,0,2,11
40000,4,1,1,0,6
100000,1,1,1,4,7
80000,4,1,1,4,10
90000,4,1,1,2,11
90000,1,1,1,2,9
110000,4,1,1,4,16
15000,4,1,1,0,3
100000,4,1,1,2,15
40000,0,1,1,0,2
60000,4,1,1,2,18
25000,4,1,1,0,9
25000,4,1,1,0,6
23000,4,1,1,0,7
22155,4,1,1,0,4
70000,4,1,1,0,4
60000,4,1,1,2,13
110000,4,1,1,2,13
30000,4,1,1,0,4
15000,1,1,1,0,3
100000,1,1,1,2,19
24000,4,1,1,0,5
120000,4,1,1,2,17
35000,1,1,0,0,9
78380,4,1,1,0,15
110000,1,1,1,2,10
90000,1,1,1,4,12
90000,1,1,1,4,11
150000,1,1,1,4,13
230000,1,1,1,4,13
70000,4,1,1,4,16
110000,4,1,1,4,10
60000,1,1,1,0,10
50000,1,1,0,0,7
40000,4,1,1,2,8
40000,1,1,0,0,5
20000,1,0,1,0,9
55000,4,0,1,0,8
55000,4,0,1,0,9
43000,4,0,1,0,8
60000,1,1,1,0,6
2650,1,0,1,0,4
40000,1,1,1,0,5
115962,1,1,1,2,6
40000,1,1,1,0,5
58000,1,0,1,0,10
15000,1,1,0,0,9
54000,4,0,1,0,10
56000,1,0,1,0,5
120000,4,1,1,4,16
90000,3,1,1,2,13
90000,4,1,1,2,14
213000,1,1,1,0,14
120000,1,1,1,0,10
80000,1,1,1,2,10
90000,4,1,1,0,7
80000,4,1,1,0,14
60000,4,1,1,2,14
139000,4,1,1,2,11
160000,1,1,1,2,11
150000,1,1,1,0,8
163000,1,1,1,1,12
120000,1,0,1,0,13
120000,1,1,1,2,11
100000,1,1,1,2,10
140000,1,0,1,0,7
87000,1,0,1,2,12
70000,4,1,1,0,9
50000,4,1,1,2,7
70000,1,1,1,0,8
150000,1,1,1,0,8
25000,1,1,1,0,4
80000,1,1,1,2,11
32000,4,1,1,0,4
10000,4,1,1,0,4
52000,4,0,1,0,5
120000,1,1,1,4,16
11240,4,1,1,0,3
66000,1,0,1,0,5
64000,1,0,1,0,5
49000,4,1,1,0,9
100000,1,1,1,2,16
26500,4,1,1,0,4
100000,4,1,1,2,20
72000,1,0,1,0,5
50000,4,1,1,0,13
44000,1,0,1,0,5
60000,1,1,1,2,5
120000,1,1,1,0,20
130000,1,1,1,0,12
20000,4,1,1,0,8
60000,1,1,1,2,13
195000,4,1,1,0,15
90000,4,1,1,2,12
80000,4,1,1,4,16
155000,4,1,1,0,11
35000,1,1,1,0,3
20000,4,1,1,2,4
80000,4,1,1,2,12
50000,4,1,1,0,13
110000,4,1,1,2,12
29000,1,1,1,0,9
120000,1,1,1,0,9
70000,1,1,1,2,11
40000,4,1,1,0,9
20000,4,1,1,0,5
50000,4,1,1,2,9
50000,4,1,1,0,9
49000,4,1,1,2,10
70000,1,1,0,2,11
90000,1,1,1,2,11
25000,1,0,1,0,2
4000,4,1,1,0,4
10000,1,1,1,0,4
30000,4,1,1,0,4
41000,4,0,1,0,8
28000,4,1,1,0,10
16000,4,1,1,0,3
70000,4,1,1,0,7
10832,4,0,1,0,5
14681,1,0,1,0,4
50000,4,1,1,0,13
51000,1,0,1,0,6
25000,4,1,1,0,7
30000,4,1,1,0,8
80000,1,0,1,0,8
50000,4,1,1,0,5
200000,1,1,1,0,7
44000,4,0,1,0,9
10000,4,1,1,0,7
19600,4,1,1,0,3
40000,4,1,1,2,17
50000,1,1,1,0,11
46730,4,1,1,0,13
40000,4,1,1,2,7
80000,1,1,1,0,11
80000,4,1,1,2,20
24000,1,1,1,0,4
21170,1,0,1,0,5
167223,1,0,0,0,9
60000,1,1,0,0,11
141440,1,0,1,0,6
120000,1,1,1,4,15
140000,4,1,0,0,10
212814,1,0,1,0,10
30000,1,1,1,0,3
88635,1,0,1,0,5
25000,1,1,1,0,4
20000,4,1,1,2,5
110000,1,1,1,2,10
100000,1,1,1,4,15
120000,4,1,1,4,16
120000,1,1,1,2,19
35000,4,1,1,2,8
40000,4,1,1,0,20
60000,1,1,1,2,7
50000,1,1,1,2,10
25000,4,1,1,1,9
25000,4,1,1,0,6
8000,1,1,1,0,3
60000,1,1,1,0,5
200000,1,1,1,4,16
20000,1,1,1,0,4
100000,4,1,1,0,9
70000,1,1,1,2,7
68000,1,0,1,0,10
38000,4,0,1,0,5
80000,1,0,1,0,9
72000,0,0,1,0,8
75000,0,0,1,0,10
43000,4,0,1,0,8
120000,4,1,1,2,15
100000,1,1,1,0,7
163000,1,1,1,0,8
25000,4,1,1,0,11
90000,4,1,1,2,15
70000,1,1,1,2,8
98000,0,1,1,2,12
81925,1,1,1,0,12
80000,1,1,1,2,9
40000,4,1,1,0,5
90000,1,1,1,0,8
46000,4,1,1,0,10
80000,1,1,1,0,10
35000,4,1,1,0,4
82080,1,1,0,0,5
200000,1,1,1,0,10
70000,4,1,1,0,13
40000,4,1,1,4,22
120000,1,1,1,4,12
60000,4,1,1,4,15
110000,1,1,1,0,9
97000,1,1,1,2,11
30000,4,1,1,0,5
40000,4,1,1,0,12
10000,4,1,1,0,3
52047,4,1,1,0,12
200000,1,1,1,4,11
15000,4,1,0,2,3
50000,1,1,1,0,4
70000,4,1,1,2,11
10000,4,1,1,0,3
90000,1,1,1,0,5
40000,4,1,1,0,6
62009,4,1,1,2,16
33100,4,1,1,2,5
40000,4,1,1,2,8
120000,4,1,1,2,23
80000,4,1,1,0,15
70000,1,1,1,0,6
220000,4,1,1,2,16
50000,1,1,1,0,12
45000,4,1,1,2,7
110000,1,1,1,0,8
49000,1,1,1,0,8
35000,1,1,0,0,4
180000,4,1,1,4,15
60000,4,1,1,2,15
110000,1,1,1,4,14
60000,4,1,1,4,18
30000,4,1,1,0,6
40000,1,1,1,0,5
70000,4,1,1,0,13
120000,1,1,1,2,12
120000,1,1,1,0,7
20000,4,1,1,0,4
22000,4,1,1,0,4
35000,4,1,1,2,14
120000,1,1,1,2,9
8000,4,1,1,0,3
40000,1,1,1,2,11
10000,1,1,1,0,4
30000,4,1,1,0,3
54000,1,1,1,2,11
80577,4,1,1,0,5
25000,1,1,1,0,5
127500,1,1,1,2,11
40903,4,0,1,0,7
60000,4,1,1,4,11
22288,1,0,1,2,18
180000,1,1,1,2,11
30000,1,1,1,2,7
61690,4,0,1,0,7
64484,4,0,1,0,7
90000,1,1,0,2,10
75976,1,0,1,2,9
70000,1,1,1,2,11
85962,4,0,1,2,10
120000,4,1,1,0,4
120000,1,1,1,0,7
75000,4,1,0,2,10
57035,4,0,1,0,13
70000,1,1,1,4,11
45000,4,1,1,0,7
72104,1,0,1,2,9
15000,4,1,1,0,11
30000,4,1,1,0,6
80000,1,1,1,0,11
164000,1,1,1,2,13
124439,4,1,1,2,16
77000,4,1,1,2,16
90000,1,1,1,0,8
30000,4,1,1,0,5
50000,4,1,1,0,10
80000,1,1,1,2,10
5000,4,1,1,0,4
24000,4,1,0,0,4
10000,4,1,1,0,3
78000,1,1,1,4,6
50000,1,1,1,0,4
100000,4,1,1,2,21
20000,4,1,1,0,4
1250,4,1,1,0,3
17152,4,1,1,0,7
5000,1,1,0,0,3
77000,1,1,1,0,10
90000,1,1,1,2,14
65000,1,1,1,0,7
80000,1,1,1,0,11
24005,4,1,1,0,9
20000,1,1,1,0,4
120000,1,1,1,0,8
80000,4,1,1,0,17
100000,1,1,1,0,10
120000,4,1,1,2,13
149000,1,1,1,2,11
65000,4,1,1,2,17
100000,1,1,1,2,13
65000,1,1,1,2,11
19000,4,1,1,2,4
80000,4,1,1,2,12
109000,1,1,1,0,10
90000,3,1,1,0,10
90000,4,1,1,0,10
65000,1,1,1,2,11
110000,1,1,1,2,12
120000,1,1,1,0,15
44000,1,1,1,0,8
80000,4,1,1,0,7
61000,4,1,1,0,6
100000,1,1,1,2,11
27633,4,1,1,0,13
100000,1,1,1,4,12
12586,4,0,1,0,3
38083,1,0,1,0,4
55328,1,0,1,0,10
81632,1,0,1,0,10
155201,1,0,1,0,6
93283,1,0,1,0,9
217871,1,0,1,0,13
90165,1,0,1,0,10
101504,1,0,1,0,8
86017,1,0,1,2,12
85036,1,0,1,2,9
91086,4,0,1,2,16
160254,1,0,1,2,9
125531,1,0,1,2,9
60000,1,1,1,0,3
100000,1,1,1,0,16
90000,1,1,1,4,9
120000,1,1,1,2,13
82000,1,1,1,0,8
60000,1,1,1,0,6
24000,4,1,1,0,3
120000,1,1,1,0,8
65000,1,0,1,0,9
84000,1,0,1,0,7
75000,1,0,1,0,9
50000,1,0,1,0,15
50000,4,1,1,0,11
49000,4,0,1,0,15
560000,1,0,1,0,6
14365,4,0,1,0,7
41000,1,1,0,0,5
65000,1,0,1,0,9
65000,1,0,1,0,7
61083,1,0,1,0,9
75000,1,1,1,0,9
72000,1,0,1,0,10
65000,1,0,1,0,8
55000,1,0,1,0,5
21000,4,0,1,2,7
66363,4,0,0,2,10
11700,4,0,0,0,4
10000,4,1,0,0,5
7104,4,2,1,0,6
45974,1,2,1,0,7
55340,4,2,1,0,7
20000,4,0,0,2,5
61585,1,2,1,0,7
39415,4,2,0,2,6
64672,1,2,1,0,6
54634,1,2,0,2,7
66521,4,2,1,0,7
43000,1,0,0,0,6
1000,1,0,1,2,9
10000,1,0,0,0,4
86000,1,0,0,0,9
30000,1,0,0,0,3
52600,1,1,1,0,6
110000,4,1,1,2,10
19890,4,0,0,0,5
7104,4,2,1,0,6
11918,4,2,1,0,7
10510,4,0,0,0,5
41000,4,0,1,0,6
47162,1,2,0,0,5
45974,1,2,1,0,7
49824,4,0,1,0,10
58500,1,0,0,0,9
56580,4,0,1,0,17
52000,1,0,1,0,10
55340,4,2,1,0,7
46507,1,2,1,0,5
1000,1,0,1,2,9
10000,1,0,0,0,4
86000,1,0,0,0,9
30000,1,0,0,0,3
52600,1,1,1,0,6
110000,4,1,1,2,10
19890,4,0,0,0,5
7104,4,2,1,0,6
11918,4,2,1,0,7
10510,4,0,0,0,5
41000,4,0,1,0,6
47162,1,2,0,0,5
45974,1,2,1,0,7
49824,4,0,1,0,10
58500,1,0,0,0,9
56580,4,0,1,0,17
52000,1,0,1,0,10
55340,4,2,1,0,7
46507,1,2,1,0,5
1000,1,0,1,2,9
10000,1,0,0,0,4
86000,1,0,0,0,9
30000,1,0,0,0,3
52600,1,1,1,0,6
110000,4,1,1,2,10
19890,4,0,0,0,5
7104,4,2,1,0,6
11918,4,2,1,0,7
10510,4,0,0,0,5
47162,1,2,0,0,5
45974,1,2,1,0,7
58500,1,0,0,0,9
56580,4,0,1,0,17
52000,1,0,1,0,10
55340,4,2,1,0,7
46507,1,2,1,0,5
1000,1,0,1,2,9
10000,1,0,0,0,4
86000,1,0,0,0,9
30000,1,0,0,0,3
52600,1,1,1,0,6
110000,4,1,1,2,10
7104,4,2,1,0,6
11918,4,2,1,0,7
10510,4,0,0,0,5
41000,4,0,1,0,6
47162,1,2,0,0,5
45974,1,2,1,0,7
49824,4,0,1,0,10
58500,1,0,0,0,9
56580,4,0,1,0,17
52000,1,0,1,0,10
55340,4,2,1,0,7
46507,1,2,1,0,5
50000,4,1,1,2,9
30000,4,1,1,0,8
50000,4,1,1,2,9
100000,4,1,1,2,27
35000,1,1,1,0,6
90000,4,1,1,2,10
11451,4,1,1,0,8
60000,1,1,1,0,3
172000,1,1,1,2,10
60000,1,1,1,0,4
150000,1,1,1,0,17
5000,4,1,1,0,3
66508,4,1,1,2,16
55000,4,1,1,2,15
29900,4,1,1,0,10
3000,1,1,1,0,5
85000,1,1,1,0,10
50000,1,1,1,0,11
120000,1,1,1,2,12
90000,4,1,1,4,14
8000,4,1,0,0,5
7900,4,1,0,0,7
50000,4,1,1,0,5
25000,4,1,1,0,6
20000,4,1,1,0,13
17500,4,1,1,0,4
25000,4,1,1,0,14
206500,1,1,1,0,9
88600,3,1,1,0,9
100000,1,1,1,1,14
186000,1,1,1,2,11
60000,4,1,1,0,12
11000,4,1,1,0,3
30000,1,1,1,0,5
80000,0,1,1,4,15
60000,4,1,1,4,21
15000,1,1,1,0,3
90000,4,1,1,0,11
120000,4,1,1,0,10
100000,1,1,1,2,9
138000,1,1,1,4,13
110000,1,1,1,2,14
120000,4,1,1,1,7
70000,4,1,0,2,11
70000,4,1,1,0,7
140000,1,1,1,0,11
15000,4,1,1,0,13
20000,4,1,1,0,4
100000,1,1,1,0,13
70000,4,1,0,0,7
5000,4,1,1,0,4
27974,4,1,1,0,9
40000,4,1,1,0,4
80000,4,1,1,0,15
38000,4,1,1,0,9
38000,4,1,1,0,9
35000,4,1,1,0,8
60000,1,1,1,2,10
120000,1,1,1,2,18
18000,4,1,0,0,4
10000,4,1,1,0,6
90000,1,1,1,4,7
80000,1,1,1,2,6
1400,1,1,1,0,2
60000,4,1,1,4,11
53000,4,1,1,0,13
100000,1,0,1,0,12
86000,1,0,1,2,10
100000,1,1,1,0,7
30000,1,1,1,0,6
120000,4,1,1,0,11
60000,3,1,1,2,11
50000,1,1,1,2,6
124000,1,1,1,2,12
100000,4,1,1,4,10
42000,4,1,1,0,5
100000,1,1,1,0,7
28205,4,0,1,0,6
32670,4,0,0,0,5
30093,1,0,0,0,6
56228,0,0,1,0,9
59319,4,0,1,0,9
39503,1,0,1,0,6
35299,4,0,1,0,9
51687,4,0,1,0,11
76259,4,0,0,0,11
44049,1,0,1,0,9
45087,1,0,1,0,5
41125,4,0,1,0,11
42215,1,0,0,0,8
54206,4,0,1,0,11
52547,4,0,1,0,10
59110,1,0,1,0,8
54565,4,0,1,0,8
47564,4,0,1,2,12
45143,4,0,1,2,12
61624,4,0,0,2,9
195000,1,1,1,4,15
50000,1,1,1,0,8
68000,1,1,0,0,4
120000,1,1,1,2,12
20000,4,1,1,0,3
30000,4,1,1,0,12
60000,1,1,1,0,9
90000,4,1,1,4,12
90000,4,1,1,2,14
25000,1,1,1,0,3
40000,4,1,1,0,5
110000,4,1,1,2,10
132000,4,1,1,0,16
10980,4,0,0,0,4
20629,4,0,1,0,4
30000,4,1,0,0,7
69782,4,0,1,0,7
54000,4,1,1,0,19
63654,1,0,1,0,9
60000,1,1,1,0,5
52000,1,0,1,0,7
59385,1,0,1,0,7
70378,4,0,1,0,7
55425,4,0,1,0,9
78413,1,0,1,2,9
40890,1,0,1,0,4
34823,4,0,1,2,7
75000,1,1,0,0,5
55545,1,0,1,0,5
56541,1,0,1,0,8
43700,4,1,1,0,6
120000,4,1,1,2,13
27483,1,0,1,0,8
8000,4,1,1,0,3
30000,4,1,1,0,14
56207,4,0,1,2,8
70000,4,1,1,0,16
50000,4,1,1,0,3
20000,1,1,0,0,5
91195,1,0,1,0,5
63657,1,0,1,0,11
60000,1,1,1,0,9
75000,1,0,1,0,6
46000,1,1,1,0,10
10000,4,1,0,0,6
80000,1,1,1,0,4
100000,1,1,1,2,11
35000,4,1,1,0,9
50000,4,1,0,0,5
90000,1,1,1,4,11
150000,1,1,1,2,10
89000,4,1,1,2,9
60000,1,1,1,2,8
100000,1,1,1,2,10
100000,4,1,1,2,10
90000,1,1,1,2,8
75000,4,1,1,0,8
36000,1,0,1,0,5
12000,4,1,1,0,6
12997,1,0,1,0,5
60000,1,1,1,0,7
25000,1,1,1,2,9
26430,1,0,1,0,4
24600,4,0,1,0,7
28481,4,0,1,0,11
100000,4,1,1,0,9
41988,1,0,1,0,9
30375,4,0,1,0,13
7658,4,0,0,0,5
18500,4,0,1,0,5
28942,4,0,0,0,8
50000,1,1,1,2,5
53600,1,0,1,0,10
25000,4,1,1,0,8
80000,1,1,1,2,15
50000,4,1,1,0,5
15000,1,1,1,2,6
5000,4,1,1,0,4
106000,1,1,1,0,5
100000,4,1,1,4,14
60000,4,1,1,4,6
120000,1,1,1,1,10
82000,4,1,0,0,5
205000,4,1,1,0,9
125000,1,1,1,4,11
130000,1,1,1,0,7
97000,0,1,1,2,10
90000,4,1,1,2,7
60000,4,1,1,4,13
60000,1,1,1,0,9
35000,1,1,1,0,4
25000,4,1,1,0,3
15000,4,1,1,0,5
20000,4,1,1,0,11
20000,4,1,1,0,11
70000,4,1,1,0,12
90000,4,1,1,0,6
80000,1,1,1,0,6
79500,1,1,0,2,8
70000,1,1,1,2,9
5000,1,1,1,0,4
15000,4,1,1,0,4
35000,4,1,1,0,8
120000,1,1,1,2,13
60000,4,1,1,0,7
120000,1,1,1,0,9
90000,1,1,1,0,6
90000,4,1,1,0,7
10000,4,1,1,0,4
72000,1,1,1,2,13
197000,4,1,1,2,11
