car_name,year,selling_price,kms_driven,fuel_type,seller_type,transmission,owner
corolla altis,2012,590000,56000,Petrol,Dealer,Manual,First Owner
etios liva,2013,345000,47000,Petrol,Dealer,Manual,First Owner
etios g,2014,475000,40000,Petrol,Dealer,Manual,First Owner
corolla altis,2009,380000,62000,Petrol,Dealer,Manual,First Owner
innova,2005,351000,75000,Petrol,Dealer,Manual,First Owner
fortuner,2015,2300000,40000,Diesel,Dealer,Automatic,First Owner
corolla altis,2008,400000,89000,Petrol,Dealer,Automatic,First Owner
corolla altis,2012,585000,72000,Petrol,Dealer,Manual,First Owner
innova,2016,2075000,29000,Diesel,Dealer,Automatic,First Owner
corolla altis,2017,1700000,8700,Petrol,Dealer,Manual,First Owner
corolla altis,2013,705000,45000,Petrol,Dealer,Manual,First Owner
fortuner,2010,965000,50024,Diesel,Dealer,Manual,First Owner
Royal Enfield Thunder 500,2016,175000,3000,Petrol,Individual,Manual,First Owner
UM Renegade Mojave,2017,170000,1400,Petrol,Individual,Manual,First Owner
KTM RC200,2017,165000,4000,Petrol,Individual,Manual,First Owner
Bajaj Dominar 400,2017,145000,1200,Petrol,Individual,Manual,First Owner
Royal Enfield Classic 350,2017,135000,4100,Petrol,Individual,Manual,First Owner
KTM RC390,2015,135000,21700,Petrol,Individual,Manual,First Owner
Hyosung GT250R,2014,135000,16500,Petrol,Individual,Manual,Second Owner
Royal Enfield Thunder 350,2013,125000,15000,Petrol,Individual,Manual,First Owner
Royal Enfield Thunder 350,2016,120000,18000,Petrol,Individual,Manual,First Owner
Royal Enfield Classic 350,2017,120000,11000,Petrol,Individual,Manual,First Owner
KTM RC200,2016,120000,6000,Petrol,Individual,Manual,First Owner
Royal Enfield Thunder 350,2016,115000,8700,Petrol,Individual,Manual,First Owner
KTM 390 Duke ,2014,115000,7000,Petrol,Individual,Manual,First Owner
Mahindra Mojo XT300,2016,115000,35000,Petrol,Individual,Manual,First Owner
Royal Enfield Classic 350,2015,111000,17500,Petrol,Individual,Manual,First Owner
Royal Enfield Classic 350,2013,110000,33000,Petrol,Individual,Manual,First Owner
Royal Enfield Thunder 500,2015,110000,14000,Petrol,Individual,Manual,First Owner
Royal Enfield Classic 350,2015,110000,26000,Petrol,Individual,Manual,First Owner
Royal Enfield Thunder 500,2013,105000,5400,Petrol,Individual,Manual,First Owner
Bajaj Pulsar RS200,2016,105000,5700,Petrol,Individual,Manual,First Owner
Royal Enfield Thunder 350,2011,105000,6900,Petrol,Individual,Manual,First Owner
Royal Enfield Bullet 350,2016,105000,6000,Petrol,Individual,Manual,First Owner
Royal Enfield Classic 350,2013,100000,46500,Petrol,Individual,Manual,First Owner
Royal Enfield Classic 500,2012,95000,11500,Petrol,Individual,Manual,First Owner
Royal Enfield Classic 500,2009,90000,40000,Petrol,Individual,Manual,First Owner
Bajaj Avenger 220,2017,90000,1300,Petrol,Individual,Manual,First Owner
Bajaj Avenger 150,2016,75000,7000,Petrol,Individual,Manual,First Owner
Honda CB Hornet 160R,2017,80000,3000,Petrol,Individual,Manual,First Owner
Yamaha FZ S V 2.0,2017,78000,5000,Petrol,Individual,Manual,First Owner
Honda CB Hornet 160R,2017,75000,11000,Petrol,Individual,Manual,First Owner
Yamaha FZ 16,2015,75000,18000,Petrol,Individual,Manual,First Owner
Bajaj Avenger 220,2017,75000,3500,Petrol,Individual,Manual,First Owner
Bajaj Avenger 220,2016,72000,500,Petrol,Individual,Manual,First Owner
TVS Apache RTR 160,2017,65000,11800,Petrol,Individual,Manual,First Owner
Bajaj Pulsar 150,2015,65000,5000,Petrol,Individual,Manual,First Owner
Hero Extreme,2013,65000,16000,Petrol,Individual,Manual,First Owner
Honda CB Hornet 160R,2016,60000,15000,Petrol,Individual,Manual,First Owner
Bajaj Avenger 220 dtsi,2015,60000,16600,Petrol,Individual,Manual,First Owner
Honda CBR 150,2013,60000,32000,Petrol,Individual,Manual,First Owner
Bajaj Avenger 150 street,2016,60000,20000,Petrol,Individual,Manual,First Owner
Yamaha FZ  v 2.0,2015,60000,29000,Petrol,Individual,Manual,First Owner
Yamaha FZ  v 2.0,2016,60000,25000,Petrol,Individual,Manual,First Owner
Bajaj Pulsar  NS 200,2014,60000,25000,Petrol,Individual,Manual,First Owner
TVS Apache RTR 160,2012,60000,19000,Petrol,Individual,Manual,First Owner
Hero Extreme,2014,55000,15000,Petrol,Individual,Manual,First Owner
Yamaha FZ S V 2.0,2015,55000,58000,Petrol,Individual,Manual,First Owner
Bajaj Pulsar 220 F,2010,52000,45000,Petrol,Individual,Manual,First Owner
Bajaj Pulsar 220 F,2016,51000,24000,Petrol,Individual,Manual,First Owner
TVS Apache RTR 180,2011,50000,6000,Petrol,Individual,Manual,First Owner
Hero Passion X pro,2016,50000,31000,Petrol,Individual,Manual,First Owner
Bajaj Pulsar NS 200,2012,50000,13000,Petrol,Individual,Manual,First Owner
Bajaj Pulsar NS 200,2013,50000,45000,Petrol,Individual,Manual,First Owner
Yamaha Fazer ,2014,50000,8000,Petrol,Individual,Manual,First Owner
Honda Activa 4G,2017,48000,4300,Petrol,Individual,Automatic,First Owner
TVS Sport ,2017,48000,15000,Petrol,Individual,Manual,First Owner
Yamaha FZ S V 2.0,2015,48000,23000,Petrol,Individual,Manual,First Owner
Honda Dream Yuga ,2017,48000,8600,Petrol,Individual,Manual,First Owner
Honda Activa 4G,2017,45000,4000,Petrol,Individual,Automatic,First Owner
Bajaj Avenger Street 220,2011,45000,24000,Petrol,Individual,Manual,First Owner
TVS Apache RTR 180,2014,45000,23000,Petrol,Individual,Manual,First Owner
Bajaj Pulsar NS 200,2012,45000,14500,Petrol,Individual,Manual,First Owner
Bajaj Avenger 220 dtsi,2010,45000,27000,Petrol,Individual,Manual,First Owner
Hero Splender iSmart,2016,45000,14000,Petrol,Individual,Manual,First Owner
Activa 3g,2016,45000,500,Petrol,Individual,Automatic,First Owner
Hero Passion Pro,2016,45000,1000,Petrol,Individual,Manual,First Owner
TVS Apache RTR 160,2014,42000,42000,Petrol,Individual,Manual,First Owner
Honda CB Trigger,2013,42000,12000,Petrol,Individual,Manual,First Owner
Hero Splender iSmart,2015,40000,14000,Petrol,Individual,Manual,First Owner
Yamaha FZ S ,2012,40000,5500,Petrol,Individual,Manual,First Owner
Hero Passion Pro,2015,40000,6700,Petrol,Individual,Manual,First Owner
Bajaj Pulsar 135 LS,2014,40000,13700,Petrol,Individual,Manual,First Owner
Activa 4g,2017,40000,1300,Petrol,Individual,Automatic,First Owner
Hero Honda CBZ extreme,2011,38000,75000,Petrol,Individual,Manual,First Owner
Honda Karizma,2011,35000,30000,Petrol,Individual,Manual,First Owner
Honda Activa 125,2016,35000,24000,Petrol,Individual,Automatic,First Owner
TVS Jupyter,2014,35000,19000,Petrol,Individual,Automatic,First Owner
Honda Karizma,2010,31000,213000,Petrol,Individual,Manual,First Owner
Hero Honda Passion Pro,2012,30000,60000,Petrol,Individual,Manual,First Owner
Hero Splender Plus,2016,30000,50000,Petrol,Individual,Manual,First Owner
Honda CB Shine,2013,30000,30000,Petrol,Individual,Manual,First Owner
Bajaj Discover 100,2013,27000,21000,Petrol,Individual,Manual,First Owner
Bajaj Pulsar 150,2008,25000,26000,Petrol,Individual,Manual,Second Owner
Suzuki Access 125,2008,25000,1900,Petrol,Individual,Automatic,First Owner
Honda CB twister,2013,25000,32000,Petrol,Individual,Manual,First Owner
Hero Glamour,2013,25000,18000,Petrol,Individual,Manual,First Owner
Hero Super Splendor,2005,20000,55000,Petrol,Individual,Manual,First Owner
Bajaj Pulsar 150,2008,20000,60000,Petrol,Individual,Manual,First Owner
Bajaj Discover 125,2012,20000,25000,Petrol,Individual,Manual,Second Owner
Hero Hunk,2007,20000,49000,Petrol,Individual,Manual,Second Owner
Hero  Ignitor Disc,2013,20000,24000,Petrol,Individual,Manual,Second Owner
Hero  CBZ Xtreme,2008,20000,50000,Petrol,Individual,Manual,First Owner
Bajaj  ct 100,2015,18000,35000,Petrol,Individual,Manual,First Owner
Activa 3g,2008,17000,500000,Petrol,Individual,Automatic,First Owner
Honda CB twister,2010,16000,33000,Petrol,Individual,Manual,First Owner
Bajaj Discover 125,2011,15000,35000,Petrol,Individual,Manual,Second Owner
Honda CB Shine,2007,12000,53000,Petrol,Individual,Manual,First Owner
Bajaj Pulsar 150,2006,10000,92233,Petrol,Individual,Manual,First Owner
i20,2010,325000,58000,Diesel,Dealer,Manual,Second Owner
grand i10,2015,440000,28200,Petrol,Dealer,Manual,First Owner
i10,2011,295000,53460,Petrol,Dealer,Manual,First Owner
eon,2015,275000,28282,Petrol,Dealer,Manual,First Owner
grand i10,2016,525000,3493,Petrol,Dealer,Manual,Second Owner
xcent,2017,575000,12479,Petrol,Dealer,Manual,First Owner
i20,2017,790000,3435,Petrol,Dealer,Manual,First Owner
i10,2012,310000,35775,Petrol,Dealer,Manual,First Owner
elantra,2015,1175000,43535,Diesel,Dealer,Manual,First Owner
creta,2016,1125000,22671,Petrol,Dealer,Manual,First Owner
i20,2011,290000,31604,Petrol,Dealer,Manual,First Owner
grand i10,2017,525000,20114,Petrol,Dealer,Manual,First Owner
verna,2012,450000,36100,Petrol,Dealer,Manual,First Owner
eon,2016,315000,15000,Petrol,Dealer,Manual,First Owner
verna,2014,645000,45078,Petrol,Dealer,Manual,First Owner
verna,2012,450000,36000,Petrol,Dealer,Manual,First Owner
eon,2017,350000,38488,Petrol,Dealer,Manual,First Owner
i20,2014,600000,77632,Diesel,Dealer,Manual,First Owner
verna,2015,825000,61381,Diesel,Dealer,Manual,First Owner
verna,2013,511000,36198,Petrol,Dealer,Automatic,First Owner
grand i10,2015,525000,24678,Petrol,Dealer,Manual,First Owner
i10,2011,255000,57000,Petrol,Dealer,Manual,First Owner
verna,2012,495000,60000,Diesel,Dealer,Manual,First Owner
i20,2012,310000,52132,Diesel,Dealer,Manual,First Owner
verna,2013,615000,45000,Diesel,Dealer,Manual,First Owner
verna,2017,925000,15001,Petrol,Dealer,Manual,First Owner
elantra,2015,1145000,12900,Petrol,Dealer,Automatic,First Owner
grand i10,2013,390000,53000,Diesel,Dealer,Manual,First Owner
grand i10,2015,550000,4492,Petrol,Dealer,Manual,First Owner
verna,2017,910000,15141,Petrol,Dealer,Manual,First Owner
eon,2016,310000,11849,Petrol,Dealer,Manual,First Owner
creta,2015,1125000,68000,Diesel,Dealer,Manual,First Owner
verna,2013,480000,60241,Petrol,Dealer,Manual,First Owner
eon,2012,200000,23709,Petrol,Dealer,Manual,First Owner
verna,2012,535000,32322,Diesel,Dealer,Manual,First Owner
i20,2016,625000,7000,Petrol,Dealer,Manual,First Owner
verna,2013,595000,49000,Diesel,Dealer,Manual,First Owner
verna,2012,520000,71000,Diesel,Dealer,Manual,First Owner
i20,2012,375000,35000,Petrol,Dealer,Manual,First Owner
verna,2015,595000,36000,Petrol,Dealer,Manual,First Owner
i20,2016,525000,17000,Petrol,Dealer,Manual,First Owner
creta,2016,1290000,35934,Diesel,Dealer,Manual,First Owner
brio,2015,540000,31427,Petrol,Dealer,Automatic,First Owner
city,2014,720000,48000,Diesel,Dealer,Manual,First Owner
city,2013,525000,54242,Petrol,Dealer,Manual,First Owner
brio,2012,300000,53675,Petrol,Dealer,Manual,First Owner
city,2016,1025000,49562,Petrol,Dealer,Manual,First Owner
city,2015,850000,40324,Petrol,Dealer,Manual,First Owner
city,2015,840000,25000,Petrol,Dealer,Manual,First Owner
amaze,2014,390000,36054,Petrol,Dealer,Manual,First Owner
city,2016,915000,29223,Petrol,Dealer,Manual,First Owner
brio,2016,550000,5600,Petrol,Dealer,Manual,First Owner
amaze,2015,400000,40023,Petrol,Dealer,Manual,First Owner
jazz,2016,660000,16002,Petrol,Dealer,Manual,First Owner
jazz,2017,650000,21200,Petrol,Dealer,Manual,First Owner
amaze,2014,365000,35000,Petrol,Dealer,Manual,First Owner
city,2016,835000,19434,Diesel,Dealer,Manual,First Owner
brio,2017,480000,19000,Petrol,Dealer,Manual,First Owner
city,2015,670000,18828,Petrol,Dealer,Manual,First Owner
city,2011,410000,69341,Petrol,Dealer,Manual,First Owner
city,2009,300000,69562,Petrol,Dealer,Manual,First Owner
city,2015,750000,27600,Petrol,Dealer,Manual,First Owner
jazz,2010,225000,61203,Petrol,Dealer,Manual,First Owner
city,2016,1090000,30753,Petrol,Dealer,Automatic,First Owner
city,2015,865000,24800,Petrol,Dealer,Manual,First Owner
city,2015,970000,21780,Petrol,Dealer,Manual,First Owner
city,2014,625000,40126,Petrol,Dealer,Manual,First Owner
brio,2015,525000,14465,Petrol,Dealer,Manual,First Owner
city,2006,210000,50456,Petrol,Dealer,Manual,First Owner
city,2014,825000,63000,Diesel,Dealer,Manual,First Owner
city,2016,899000,9010,Petrol,Dealer,Manual,First Owner
brio,2013,350000,9800,Petrol,Dealer,Manual,First Owner
jazz,2016,740000,15059,Petrol,Dealer,Automatic,First Owner
jazz,2016,565000,28569,Petrol,Dealer,Manual,First Owner
amaze,2015,575000,44000,Petrol,Dealer,Automatic,First Owner
city,2015,840000,34000,Petrol,Dealer,Manual,First Owner
city,2016,1011000,10980,Petrol,Dealer,Manual,First Owner
amaze,2014,450000,19000,Petrol,Dealer,Manual,First Owner
brio,2015,540000,31427,Petrol,Dealer,Manual,First Owner
jazz,2016,640000,12000,Petrol,Dealer,Manual,First Owner
city,2010,325000,38000,Petrol,Dealer,Manual,First Owner
amaze,2014,375000,33019,Petrol,Dealer,Manual,First Owner
city,2015,855000,60076,Diesel,Dealer,Manual,First Owner
city,2016,950000,33988,Diesel,Dealer,Manual,First Owner
brio,2015,400000,60000,Petrol,Dealer,Manual,First Owner
city,2009,335000,87934,Petrol,Dealer,Manual,First Owner
city,2017,1150000,9000,Diesel,Dealer,Manual,First Owner
brio,2016,530000,5464,Petrol,Dealer,Manual,First Owner
Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,First Owner
Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner
Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner
Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,First Owner
Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner
Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner
Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,First Owner
Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,First Owner
Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner
Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,First Owner
Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner
Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,First Owner
Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner
Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner
Maruti Ciaz VXi Plus,2015,585000,24000,Petrol,Dealer,Manual,First Owner
Hyundai Venue SX Opt Diesel,2019,1195000,5000,Diesel,Dealer,Manual,First Owner
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000,33000,Diesel,Individual,Manual,Second Owner
Jaguar XF 2.2 Litre Luxury,2014,1964999,28000,Diesel,Dealer,Automatic,First Owner
Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner
Maruti Vitara Brezza ZDi Plus AMT,2018,975000,4500,Diesel,Dealer,Automatic,First Owner
Audi Q5 2.0 TDI,2011,1190000,175900,Diesel,Dealer,Automatic,First Owner
Honda City V MT,2018,930000,14500,Petrol,Dealer,Manual,First Owner
Tata Tigor 1.2 Revotron XT,2018,525000,15000,Petrol,Individual,Manual,First Owner
Audi A6 2.0 TDI  Design Edition,2013,1735000,50000,Diesel,Dealer,Automatic,First Owner
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1375000,33800,Diesel,Dealer,Automatic,Second Owner
Skoda Superb Ambition 2.0 TDI CR AT,2011,450000,130400,Diesel,Dealer,Automatic,Second Owner
Toyota Corolla Altis G AT,2016,900000,50000,Petrol,Individual,Automatic,First Owner
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1300000,80000,Diesel,Individual,Manual,First Owner
Jeep Compass 1.4 Sport Plus BSIV,2019,1400000,10000,Petrol,Individual,Manual,First Owner
Mercedes-Benz E-Class E 200 CGI Elegance,2010,850000,119000,Petrol,Dealer,Automatic,First Owner
Hyundai i10 Magna 1.1L,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner
BMW 3 Series 320d Sport Line,2013,1550000,75800,Diesel,Dealer,Automatic,Second Owner
Audi Q7 35 TDI Quattro Premium,2009,1250000,78000,Diesel,Dealer,Automatic,Third Owner
Hyundai Elantra CRDi S,2012,625000,40000,Diesel,Individual,Manual,First Owner
Mahindra Scorpio 1.99 S10,2014,1050000,50000,Diesel,Individual,Manual,First Owner
Honda City i DTEC V,2014,560000,74000,Diesel,Individual,Manual,Second Owner
Maruti Wagon R VXI BS IV with ABS,2014,290000,64000,Petrol,Individual,Manual,Second Owner
Maruti Wagon R VXI BS IV,2012,275000,60000,Petrol,Individual,Manual,Second Owner
Mahindra Scorpio LX,2009,411000,120000,Diesel,Individual,Manual,Second Owner
Hyundai Santro Xing GLS,2009,150000,79000,Petrol,Individual,Manual,Third Owner
Hyundai Grand i10 1.2 Kappa Asta,2019,500000,15000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,2006,100000,80000,Petrol,Individual,Manual,First Owner
Maruti Swift Dzire VDI Optional,2017,725000,18500,Diesel,Dealer,Manual,First Owner
Maruti Eeco 5 Seater AC BSIV,2018,401000,10200,Petrol,Dealer,Manual,First Owner
Hyundai i20 Sportz 1.4 CRDi,2018,750000,29000,Diesel,Dealer,Manual,First Owner
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000,28000,Petrol,Dealer,Manual,First Owner
Maruti Swift ZDi BSIV,2016,665000,46000,Diesel,Dealer,Manual,First Owner
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000,70000,Diesel,Dealer,Manual,First Owner
Mahindra Jeep CL 500 MDI,1996,250000,35000,Diesel,Individual,Manual,Second Owner
Honda City i DTEC VX,2014,675000,90000,Diesel,Dealer,Manual,First Owner
Maruti Wagon R VXI BS IV,2013,300000,80000,Petrol,Dealer,Manual,First Owner
Tata Indica DLS,2005,70000,80000,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,2014,240000,73300,Petrol,Dealer,Manual,Second Owner
Toyota Etios GD,2014,525000,92000,Diesel,Dealer,Manual,First Owner
Maruti Alto LXi,2009,151000,66764,Petrol,Dealer,Manual,Second Owner
Maruti Alto LXi,2009,140000,100000,Petrol,Individual,Manual,First Owner
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000,350000,Diesel,Individual,Manual,Second Owner
Toyota Corolla Altis Diesel D4DG,2011,350000,230000,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,2018,300000,31000,Petrol,Individual,Manual,First Owner
Tata Indigo Classic Dicor,2007,100000,39000,Diesel,Individual,Manual,First Owner
Toyota Innova 2.5 V Diesel 8-seater,2009,500000,120000,Diesel,Individual,Manual,Third Owner
Maruti Swift 1.3 VXi,2006,130000,110000,Petrol,Individual,Manual,Third Owner
Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000,35000,Diesel,Individual,Manual,First Owner
Maruti Ciaz 1.3 Delta,2018,750000,60000,Diesel,Individual,Manual,First Owner
Honda Civic 1.8 V AT,2007,200000,54000,Petrol,Individual,Automatic,Second Owner
Hyundai i10 Sportz 1.2,2010,248000,63000,Petrol,Individual,Manual,Second Owner
Skoda Rapid 1.5 TDI Elegance,2014,450000,120000,Diesel,Individual,Manual,Second Owner
Hyundai Getz GLS,2005,80000,120000,Petrol,Individual,Manual,Third Owner
Nissan Terrano XL,2014,650000,76000,Petrol,Individual,Manual,Second Owner
Hyundai Grand i10 CRDi Sportz,2015,450000,80000,Diesel,Individual,Manual,First Owner
Hyundai Elite i20 Diesel Era,2019,650000,25000,Diesel,Individual,Manual,First Owner
Honda Amaze S i-VTEC,2016,495000,11958,Petrol,Dealer,Manual,First Owner
Honda Brio S MT,2015,371000,20000,Petrol,Dealer,Manual,First Owner
Hyundai Creta 1.6 SX Option,2017,1025000,9000,Petrol,Dealer,Manual,First Owner
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,8150000,6500,Diesel,Dealer,Automatic,First Owner
Mahindra XUV500 W8 2WD,2015,750000,70000,Diesel,Individual,Manual,First Owner
Hyundai Santro Xing XO,2007,80000,58000,Petrol,Dealer,Manual,Second Owner
Mahindra Bolero 2011-2019 SLE,2013,325000,62200,Diesel,Dealer,Manual,First Owner
Audi A6 2.0 TDI Premium Plus,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner
Fiat Avventura MULTIJET Emotion,2015,350000,53000,Diesel,Individual,Manual,Second Owner
Audi A8 4.2 TDI,2013,2800000,49000,Diesel,Dealer,Automatic,First Owner
Datsun RediGO 1.0 S,2017,210000,15000,Petrol,Dealer,Manual,Second Owner
Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000,Petrol,Individual,Manual,First Owner
