incidenceRate,medIncome,povertyPercent,PctEmployed16_Over,PctPrivateCoverage,PctPublicCoverageAlone
424.5,31933,25.0,41.7,58.0,24.1
369.7,42291,18.3,54.9,49.1,22.6
307.1,38012,28.1,42.9,41.2,27.5
553.0,40568,20.0,47.1,56.4,26.9
511.3,54585,13.3,58.6,72.6,16.8
416.2,38445,19.9,50.7,61.8,21.9
449.2,42466,19.2,48.3,62.1,24.8
420.3,43171,22.3,45.9,45.8,33.1
357.1,58994,16.6,59.1,55.6,22.1
463.4,35799,20.6,41.2,59.6,26.6
453.5494221,59773,9.7,64.4,69.7,11.8
297.2,39335,21.0,41.3,52.7,16.3
369.7,107143,8.5,74.4,85.7,4.2
519.9,48264,16.8,60.0,69.2,17.9
470.4,41375,19.5,51.3,67.6,17.4
375.5,35081,28.8,44.9,40.4,35.7
485.5,43169,13.5,52.2,71.6,16.6
466.2,52750,11.2,58.3,76.1,14.8
453.5494221,61279,10.2,70.4,80.7,13.1
269.9,32366,33.1,34.5,31.5,38.8
506.5,44435,16.5,52.3,70.2,18.9
331.1,50709,14.0,60.9,45.4,18.6
485.2,52387,13.2,55.5,64.4,19.1
451.2,42659,13.0,56.9,67.5,21.8
453.5494221,43264,10.8,64.5,74.4,13.7
441.4,62532,11.5,56.3,60.7,14.5
457.7,49698,13.0,59.0,62.1,18.3
564.2,34126,22.7,43.8,51.7,29.7
487.2,54154,11.7,60.4,70.9,18.3
409.8,68067,9.5,58.1,78.8,9.6
453.6,44841,17.7,53.3,63.8,20.7
391.4,47987,15.2,48.0,80.7,12.2
423.0,38607,18.1,52.0,58.9,20.2
403.0,39030,21.5,35.3,57.4,18.7
356.1,40351,16.0,61.2,64.9,17.8
425.6,56519,7.8,66.8,85.3,9.1
334.6,54421,10.4,67.5,83.7,8.9
480.5,35851,21.9,47.6,43.7,35.0
423.8,54556,10.1,63.3,74.7,12.7
444.7,55926,13.3,58.0,61.2,16.5
457.0,36739,21.4,42.6,53.4,27.8
479.9,46892,18.0,53.9,71.8,16.0
442.6,28518,32.1,45.3,59.1,24.7
374.8,25807,36.3,43.9,41.8,30.8
475.2,49061,12.9,57.0,67.8,14.9
488.6,30760,38.5,37.1,45.2,25.4
390.5,41837,28.4,53.4,78.3,11.9
516.8,47351,13.6,58.9,65.8,15.5
261.0,35554,22.5,56.4,57.8,15.6
427.3,60205,7.5,72.2,80.2,11.2
453.5494221,36471,17.4,50.7,66.0,20.3
370.0,40667,18.8,59.8,71.5,10.8
453.5494221,42221,18.0,53.8,64.2,19.2
521.9,36836,18.3,59.7,66.0,20.0
433.4,38597,22.3,52.0,54.2,27.5
339.0,34548,24.2,43.9,50.6,28.8
422.0,56160,8.9,63.4,78.6,13.9
440.9,48102,14.4,65.3,74.8,14.6
431.6,41419,22.4,38.3,50.4,31.8
531.3,31086,29.8,44.2,48.5,33.2
382.0,38304,20.0,43.9,55.7,21.1
353.8,46200,20.2,53.8,53.0,20.1
370.5,53721,9.7,61.8,82.0,9.9
461.3,31835,26.5,43.9,50.5,28.6
531.7,34678,24.7,47.0,53.3,27.7
457.1,47841,11.2,60.5,68.9,19.1
409.0,47366,13.7,67.6,68.3,16.5
408.0,43425,19.6,54.1,63.9,21.9
411.4,36865,21.7,47.5,43.9,25.8
469.0,54458,15.6,50.1,70.3,15.8
479.6,32318,29.0,44.7,46.4,26.2
497.4,47477,16.1,53.0,64.7,19.0
462.0,40072,20.2,43.3,63.2,18.8
488.4,51045,12.1,60.0,72.7,17.5
524.1,34633,26.7,51.8,55.7,25.9
420.3,47964,14.0,44.7,62.3,20.7
361.5,52623,12.9,60.2,65.9,15.2
420.8,59316,12.9,65.2,60.7,20.1
460.0,41759,18.1,30.3,62.1,24.8
453.5494221,69430,9.8,69.3,80.4,12.5
410.3,50999,11.7,56.8,76.1,14.0
458.4,58205,12.6,62.5,74.8,12.4
425.1,30668,23.2,44.0,46.1,30.3
475.2,51978,11.8,60.3,71.6,16.5
461.9,51513,12.1,60.7,66.3,22.4
461.8,37782,23.2,51.8,49.5,28.7
475.4,45048,15.7,51.7,66.4,20.7
449.3,47745,14.9,57.9,70.4,18.6
501.5,38057,18.5,48.3,51.0,29.4
526.2,37453,22.6,44.4,54.1,27.9
444.2,43049,12.0,54.2,71.7,17.1
393.5,46083,14.9,54.3,60.2,20.1
396.8,47781,16.2,48.2,68.6,18.6
369.6,32826,23.9,31.2,43.9,25.6
275.7,64182,10.5,46.0,72.1,11.6
495.8,26504,33.2,35.2,44.7,32.2
391.5,42360,28.1,52.5,43.1,35.0
358.9,45174,14.4,52.3,71.2,17.4
453.5494221,52219,9.6,61.1,76.2,13.5
486.8,48018,15.6,53.5,62.3,18.2
472.0,44402,16.5,55.6,60.1,20.7
312.7,57235,10.2,57.1,73.7,16.5
527.4,51961,10.9,59.7,76.1,14.5
411.8,50699,14.4,51.6,64.4,14.5
451.7,35807,25.4,45.5,57.4,22.8
548.4,53905,10.9,63.5,75.0,15.7
434.4,55465,11.4,64.8,73.2,15.9
459.5,53872,12.9,55.8,65.9,14.1
500.1,60387,13.0,59.9,69.1,20.6
414.8,54089,18.9,54.2,75.4,14.8
444.1,34733,25.3,37.3,52.4,26.7
453.5494221,43287,17.8,59.6,66.1,18.4
489.4,37410,23.4,50.2,55.2,24.6
457.9,35185,22.3,49.7,58.2,21.6
489.0,49567,12.2,56.7,68.1,21.7
347.1,76661,7.8,76.5,72.2,8.6
446.8,55637,9.6,63.9,75.2,14.6
519.2,49342,15.9,51.5,64.6,20.3
434.4,39980,22.6,41.0,57.4,20.6
400.2,51222,16.8,59.7,56.2,21.6
352.0,77222,6.8,69.7,76.1,8.6
437.0,61792,10.5,47.4,80.5,9.0
391.5,38473,24.7,39.6,53.4,20.3
416.9,49713,13.0,57.3,62.6,16.4
506.4,43298,15.7,58.7,66.1,16.1
453.5494221,48576,13.7,48.6,61.1,19.1
486.6,57447,12.8,60.9,71.6,14.1
383.0,55493,13.5,58.5,58.4,13.8
364.5,39493,18.0,51.4,57.1,22.3
365.2,33707,22.1,37.9,50.7,24.8
451.4,66950,11.5,66.0,75.9,11.3
453.5494221,52444,11.6,64.5,74.8,14.3
420.5,86703,7.2,64.2,82.3,11.3
441.6,40797,25.9,52.8,73.5,13.6
504.9,44388,13.9,52.4,68.8,17.1
450.4,64257,16.1,59.4,68.3,17.8
452.9,52491,10.7,58.1,75.1,13.4
487.0,54728,15.5,62.5,70.6,16.7
441.8,42967,15.5,53.8,62.5,19.4
473.1,84026,8.9,65.5,80.7,13.9
468.5,50434,11.9,58.9,72.6,13.3
460.7,36734,19.2,42.5,55.5,20.5
484.6,40556,17.3,50.7,60.2,25.5
482.8,45098,15.4,55.5,72.5,17.0
514.4,49040,12.6,54.7,71.8,17.5
459.3,47092,13.2,50.6,61.7,18.5
497.2,41577,16.1,55.8,60.9,20.9
431.5,46715,16.5,54.4,62.7,22.1
476.1,34906,29.9,45.4,50.5,27.0
450.4,51303,15.5,58.9,65.4,20.6
359.3,56800,10.0,65.8,71.0,13.0
477.4,44358,19.1,51.9,62.3,22.7
463.6,36923,22.0,48.9,63.3,16.7
529.5,34604,29.8,44.1,40.5,34.0
431.9,51498,12.7,62.3,75.8,14.7
395.4,41624,15.8,31.6,69.8,17.3
480.0,52967,9.6,63.5,80.0,12.8
468.2,45380,20.5,49.6,64.5,18.5
453.4,42812,15.2,49.6,61.6,20.0
481.5,50038,11.1,57.4,81.2,9.9
469.0,69203,9.5,59.2,79.0,11.0
463.1,37072,18.5,44.3,55.3,23.0
432.9,51423,9.1,66.1,74.2,14.6
454.3,72406,6.2,62.8,83.8,8.7
492.5,30217,34.4,42.2,49.1,30.9
439.3,46610,12.2,57.9,70.1,18.7
423.7,66950,10.2,60.3,73.3,14.6
505.4,52313,15.6,44.1,60.0,20.2
473.4,41940,17.2,51.9,59.8,25.7
511.4,59102,8.0,69.5,78.8,7.7
527.4,28574,30.1,38.0,47.0,34.6
475.3,41554,20.4,49.0,64.9,20.5
477.0,33428,31.8,46.7,33.0,27.9
453.5494221,39926,19.6,56.2,47.9,30.4
433.7,41610,16.8,53.7,58.8,15.7
410.1,51527,10.0,65.3,77.7,11.4
392.5,37691,18.2,47.3,58.8,22.6
403.8,47363,13.8,61.7,75.2,13.0
496.3,103876,4.7,64.0,87.5,7.1
522.5,51738,12.9,55.1,68.7,15.2
332.0,32533,22.8,37.0,50.3,31.3
512.8,49012,14.2,53.3,59.6,17.2
482.3,42046,19.3,55.2,67.9,21.2
471.4,44236,14.5,60.2,65.0,16.5
490.2,42768,18.1,49.2,55.7,24.1
397.6,50728,12.6,58.3,69.1,14.9
453.5494221,48176,12.9,59.2,70.6,20.6
504.8,26351,34.2,36.1,45.2,34.0
506.7,40339,21.3,46.5,58.4,20.6
513.7,46226,16.9,55.3,67.3,18.4
432.8,35731,18.7,53.9,54.8,20.3
427.3,38742,17.9,54.9,54.5,21.2
498.9,51371,14.2,59.7,73.1,18.5
479.8,51880,18.7,54.9,79.9,13.1
362.3,56139,12.3,58.7,71.2,13.2
477.3,40124,20.1,54.0,63.4,20.7
404.2,42902,17.2,51.6,59.2,20.1
486.6,61388,10.1,62.1,75.7,17.3
358.5,42753,21.2,47.2,53.8,26.5
423.9,52892,10.3,71.8,76.5,12.8
406.2,37122,19.0,40.4,61.4,23.4
470.8,48554,17.7,55.1,61.0,22.9
468.9,43111,19.9,48.0,57.5,23.4
453.5494221,47351,13.9,51.6,72.8,15.2
416.8,38140,22.5,49.9,53.6,28.6
395.3,34923,19.7,51.1,57.9,23.8
429.3,68352,7.2,66.2,82.0,8.9
441.3,84213,5.9,60.7,87.7,6.5
447.7,33869,22.8,41.3,51.7,26.1
365.5,45911,20.4,57.3,56.7,21.2
453.6,60809,12.5,60.7,73.5,13.1
460.8,39017,16.5,55.0,68.8,16.8
441.1,58127,15.2,63.9,62.7,16.4
339.0,49709,12.9,54.1,73.3,12.5
466.6,40862,18.6,51.4,52.2,21.5
448.8,50893,10.4,67.1,75.6,12.1
494.6,39546,18.1,45.2,64.8,22.7
425.1,42582,16.0,58.5,71.2,16.8
399.0,34326,34.8,48.7,36.6,36.4
462.5,53755,11.3,72.7,81.5,8.8
456.9,60121,11.5,58.3,67.4,14.3
380.6,32120,28.7,47.1,45.7,28.0
489.8,61898,11.2,51.9,75.1,14.0
387.7,40179,13.8,58.4,65.0,13.0
471.5,78653,7.5,63.1,81.8,11.8
398.7,44188,15.6,55.8,68.3,18.1
501.8,34022,25.5,46.1,51.6,24.1
399.4,44410,17.5,47.5,59.6,19.7
485.0,38887,24.5,51.8,58.5,19.3
493.4,71890,9.9,62.1,73.3,14.1
550.1,41757,19.3,53.6,66.5,22.4
475.8,41121,16.7,46.8,66.9,21.3
449.8,53691,9.4,61.3,71.8,16.4
530.4,32683,30.1,49.2,56.3,24.7
466.2,37501,19.6,48.8,58.3,24.2
265.7,34099,21.8,51.3,57.3,24.4
453.5494221,44774,12.5,59.9,75.9,11.6
406.9,45624,13.8,57.7,64.8,17.2
548.3,30828,27.1,42.4,51.2,31.5
494.2,46001,15.4,54.2,62.3,19.5
413.3,42099,16.4,52.0,52.1,26.9
453.5494221,48434,12.0,58.4,69.7,19.2
385.4,39679,16.1,59.8,77.1,11.6
390.6,38474,17.0,52.8,62.9,19.4
500.8,49781,15.1,48.6,69.7,19.8
321.4,52411,11.2,60.1,69.5,18.8
425.2,73985,9.8,57.5,79.2,13.8
442.3,50600,11.5,62.6,76.3,14.7
459.0,43186,15.6,52.2,68.0,18.8
453.5494221,38848,12.9,61.1,74.6,13.6
368.2,41652,14.4,59.2,67.2,17.1
479.3,37151,20.5,48.3,59.8,24.0
492.8,37537,22.5,47.4,54.9,26.7
490.7,42655,18.3,51.8,67.8,20.2
473.4,44596,18.8,53.1,62.9,19.5
507.6,62429,9.5,62.9,76.3,13.1
465.5,46874,13.4,57.2,70.3,16.2
503.7,26602,35.2,43.5,48.1,32.8
413.9,53953,12.0,62.6,73.6,19.0
410.0,33202,23.7,49.9,56.8,24.7
484.9,39999,16.9,55.2,60.6,25.3
459.4,41321,18.5,41.8,59.8,20.2
476.0,48058,19.4,56.0,60.6,20.9
472.2,42624,14.1,43.8,71.6,16.5
474.4,76856,6.9,65.8,78.8,12.5
430.4,31217,27.7,41.8,50.8,25.8
485.3,48658,12.5,63.5,75.6,12.1
434.5,48996,14.8,52.5,57.5,14.8
424.9,40258,13.0,58.2,83.9,10.0
437.3,54359,9.9,60.1,77.7,13.9
408.6,37715,24.5,55.1,49.6,26.5
411.9,62191,6.9,65.9,77.3,15.0
453.5494221,46840,13.2,48.4,63.0,17.3
433.2,33826,19.9,50.2,53.8,25.5
460.2,38517,18.0,48.0,51.7,23.1
447.8,44325,21.6,54.6,71.3,13.2
453.5494221,51274,11.5,65.6,68.5,21.4
373.7,91886,7.2,68.5,78.0,8.6
533.4,44289,18.6,55.6,59.7,26.1
389.7,46551,12.4,51.4,65.8,19.8
373.7,52273,13.4,61.9,61.0,16.8
420.0,53328,8.7,67.6,78.2,13.8
436.2,61157,11.0,62.7,65.6,14.4
501.5,48350,17.7,54.9,66.4,23.7
537.2,43523,12.4,66.6,52.4,21.8
475.8,51653,12.3,64.8,69.7,14.4
391.7,41831,15.9,58.5,68.3,17.1
453.5494221,54536,10.3,64.6,79.1,12.7
505.9,60371,13.5,60.7,77.7,14.2
460.1,28647,35.0,46.2,42.7,34.6
519.9,51205,13.6,56.9,69.5,19.4
365.5,65489,9.6,61.7,72.0,10.2
476.5,39881,15.4,52.9,68.5,19.7
457.4,35470,24.7,49.8,56.1,26.4
379.6,62529,10.2,66.5,58.2,14.0
376.8,38750,18.5,55.5,56.3,16.7
470.3,65217,11.5,61.8,74.7,19.4
377.1,32456,25.8,42.2,60.2,24.7
500.5,24035,33.7,32.1,41.2,35.0
405.0,45159,13.5,49.5,54.8,23.3
561.9,34494,23.4,51.5,55.4,25.7
259.6,35651,26.7,38.1,47.8,26.2
408.5,49696,10.1,60.6,75.8,16.0
445.1,41948,15.9,51.4,65.4,21.1
492.0,61195,11.0,61.1,70.2,13.0
330.9,49876,17.6,44.3,61.6,22.8
359.0,27627,24.2,31.9,27.8,46.6
443.1,46288,19.8,50.4,56.9,19.4
421.7,37131,19.8,45.0,58.3,18.1
404.9,79857,4.3,75.9,88.0,6.3
455.6,33028,27.3,45.2,44.0,32.7
444.5,33293,26.6,48.6,52.1,27.5
441.0,50020,18.2,58.3,57.8,20.0
453.5494221,49365,15.8,66.0,78.2,11.8
452.6,48831,14.3,58.8,74.7,12.1
451.0,59049,15.2,65.3,67.9,15.4
453.5494221,47599,15.0,59.5,69.8,14.5
453.5494221,48245,10.4,60.8,78.6,14.0
438.4,34631,23.3,50.1,48.3,26.2
495.0,37245,23.5,45.4,62.4,19.9
389.5,61501,10.5,63.1,69.9,16.3
424.4,34411,21.6,47.5,50.3,25.3
278.5,68471,10.8,68.1,79.4,12.0
459.7,55968,10.3,64.6,73.8,16.4
438.5,57192,10.8,61.3,74.6,12.2
477.0,40994,15.3,49.1,60.3,18.2
521.2,40766,20.6,51.7,61.7,20.9
442.8,43933,16.9,47.2,63.7,18.8
389.4,48140,16.2,53.7,61.2,15.8
475.4,42074,25.0,58.8,59.3,20.6
419.3,38645,15.6,60.7,68.7,15.0
447.2,61802,8.2,63.4,83.4,9.0
450.6,35276,25.1,50.6,52.6,26.8
490.9,51138,14.3,59.3,68.5,16.6
366.9,42366,14.1,61.2,68.2,9.7
470.0,50286,11.0,61.9,74.0,16.1
475.5,46501,13.1,62.4,68.3,17.5
453.5494221,53796,10.3,62.8,77.7,13.0
379.5,40593,18.3,54.9,53.9,26.6
434.4,36339,20.7,52.7,56.2,22.7
397.6,42838,24.0,64.5,79.8,9.1
516.2,54593,8.0,64.8,84.0,7.4
320.2,51817,11.7,66.4,82.7,8.0
520.4,64533,11.8,59.1,73.5,14.1
418.2,39900,21.7,51.3,57.0,20.0
474.0,45411,17.4,53.2,64.3,18.8
376.2,36065,27.1,56.7,76.0,13.5
463.7,61908,11.0,67.0,77.7,15.6
491.5,76206,7.5,63.6,83.5,7.9
410.9,34109,27.7,53.3,49.0,25.3
457.2,34620,21.0,41.1,51.8,24.4
414.7,39420,16.1,40.1,70.0,16.4
447.3,42704,15.7,49.8,68.5,14.0
435.5,37869,18.2,48.1,63.2,18.4
511.8,94334,6.3,63.9,81.9,8.8
453.5494221,44896,12.7,59.5,70.8,12.6
453.5494221,91688,5.5,73.2,85.5,8.0
339.2,37677,24.4,41.4,52.0,29.4
382.4,28006,39.3,35.2,39.9,34.7
400.2,64752,7.9,68.0,73.0,11.0
422.8,47419,16.3,54.0,67.4,17.2
469.0,57908,11.6,61.9,76.1,11.1
453.5494221,49508,13.0,68.6,80.0,9.5
515.4,45226,19.4,55.5,58.0,23.0
480.9,50964,14.1,43.6,66.0,20.7
452.5,35313,24.5,45.3,46.0,25.0
457.3,30636,29.4,47.0,46.9,30.3
337.6,40411,12.7,44.8,66.2,20.6
483.1,56388,12.8,59.5,70.3,15.0
381.7,45784,11.4,56.2,67.2,19.4
441.5,49945,12.6,59.8,68.7,15.9
461.3,31382,30.8,46.7,52.0,26.0
275.6,49309,13.4,63.5,61.1,14.2
481.5,42166,14.0,55.8,72.7,14.4
489.0,85336,9.0,62.4,71.9,15.7
465.6,80631,7.9,61.5,80.6,8.7
481.6,43572,15.1,51.9,68.3,19.4
436.3,32889,29.7,53.3,63.4,17.9
508.7,41505,21.3,45.8,60.9,18.9
355.6,72018,9.5,61.8,66.8,14.4
519.0,53918,11.9,52.0,71.8,18.9
325.4,37294,18.7,34.9,46.3,22.9
400.8,40213,24.0,53.6,52.6,22.4
472.2,52850,10.4,60.7,73.5,16.7
487.4,41574,16.6,47.0,66.5,18.9
401.6,63646,7.8,59.9,82.5,11.0
453.5494221,52531,13.6,66.0,71.5,18.0
491.8,61923,9.3,63.2,78.3,12.6
494.9,37477,16.6,43.6,65.4,20.4
415.8,33324,24.5,47.5,42.6,26.9
456.6,43602,18.0,57.1,68.4,19.5
427.7,33939,28.4,47.7,52.9,27.4
434.6,34340,20.1,45.8,53.9,21.9
468.1,35019,22.7,47.6,52.3,28.8
453.5494221,47381,15.7,66.2,61.5,17.2
443.9,35629,21.5,46.0,53.4,26.6
490.1,39860,17.8,41.1,54.1,25.2
445.0,41077,15.5,54.0,65.7,18.2
373.3,43859,11.7,54.7,68.1,14.3
455.9,45706,13.5,51.6,72.3,16.4
280.9,59701,8.4,65.0,73.1,12.6
447.1,46128,13.4,58.2,67.7,18.3
477.3,57776,12.4,61.2,64.7,14.4
430.4,44735,15.4,52.1,73.2,13.9
430.4,43476,15.4,53.2,59.8,20.3
471.7,40429,15.9,52.7,71.8,16.0
451.5,39408,15.6,50.1,65.3,21.4
453.5494221,49852,9.7,63.0,79.1,10.7
454.2,35351,21.4,46.0,52.9,27.3
488.3,35363,20.4,49.8,58.8,22.3
376.6,46371,15.2,53.3,66.6,19.2
485.1,66807,9.3,64.9,72.8,7.9
494.1,35585,20.9,50.8,59.7,20.2
508.7,43936,16.8,54.1,66.0,20.4
507.4,44469,18.3,51.4,59.2,21.7
474.5,50758,16.8,58.8,61.2,19.7
489.4,56008,11.8,62.2,75.0,12.7
485.8,46895,15.8,58.1,68.4,20.9
500.5,40387,18.8,49.6,58.0,22.6
397.4,35895,20.1,48.7,51.8,27.8
459.2,32615,24.1,42.4,49.0,31.2
444.2,49467,13.5,50.1,73.9,13.4
430.1,44780,18.0,55.0,59.6,23.7
453.5494221,44199,17.4,57.3,69.3,15.6
452.0,50266,12.2,65.9,74.6,14.9
484.4,37961,15.7,36.1,60.8,21.0
368.1,32215,34.5,49.5,34.8,28.9
458.4,38130,23.5,51.1,65.1,16.2
303.0,36684,19.4,46.5,48.2,28.1
438.8,38869,21.7,52.2,58.4,23.2
500.9,44828,17.3,58.4,65.3,18.5
440.7,50083,16.3,55.1,65.2,21.4
508.1,44973,18.0,51.2,59.1,23.1
453.5494221,46468,20.2,54.5,85.4,6.5
387.6,52785,16.9,56.9,57.7,20.5
490.0,41547,19.2,48.2,62.3,21.1
476.7,63030,10.0,58.9,77.3,11.4
462.8,44676,15.8,48.8,62.3,18.4
466.8,52903,15.4,55.0,67.7,18.9
443.4,97936,5.6,65.5,86.6,7.4
467.2,56444,14.1,55.3,64.9,17.4
419.5,37686,20.7,55.6,55.3,22.6
434.9,54186,10.4,62.9,78.7,11.8
506.6,42121,13.9,53.0,64.0,21.3
443.4,43755,17.1,49.2,52.7,26.3
352.5,44795,18.6,46.1,60.5,16.3
453.5494221,53378,11.2,56.5,71.5,13.7
487.6,40234,20.0,51.9,65.3,18.3
435.3,41420,17.6,49.5,63.5,21.1
455.2,70358,6.4,65.1,82.3,8.4
501.8,37625,22.1,39.5,60.2,25.4
500.6,51227,14.7,58.9,68.0,19.1
417.8,48681,15.2,52.8,69.1,19.5
398.2,58792,11.2,59.6,67.3,14.2
425.2,29609,28.3,42.9,51.8,26.3
432.1,51527,20.7,52.7,57.2,25.8
453.3,36942,19.0,51.7,55.0,27.0
473.3,42044,19.4,52.0,61.2,20.9
519.6,92097,5.5,60.5,85.1,8.5
453.5494221,49536,12.2,57.4,75.8,16.6
412.1,60738,11.4,61.2,57.7,16.6
433.8,35345,17.0,53.7,65.5,17.7
477.8,50014,11.1,62.3,73.0,16.7
471.1,31081,28.5,44.8,48.4,26.6
448.2,46289,13.2,59.5,69.9,18.8
445.3,32283,30.1,46.9,47.1,31.1
495.5,40979,12.7,56.7,69.1,17.7
360.0,50545,10.8,60.5,69.1,14.3
389.1,32570,40.5,32.7,44.7,37.2
374.8,44990,16.1,54.7,67.9,23.3
436.7,60304,14.1,61.6,79.3,10.1
538.1,34444,27.1,53.7,40.2,24.9
550.7,39453,18.1,39.4,61.9,19.7
550.3,30127,31.1,38.1,46.2,34.6
496.0,35704,21.9,48.2,59.8,23.8
479.9,32268,27.0,40.9,52.0,25.9
504.7,73750,11.8,59.5,73.1,14.5
524.2,40357,18.8,48.6,59.3,21.9
532.5,37952,22.0,48.6,58.6,25.6
469.8,54610,12.9,39.3,69.7,19.4
351.1,42907,14.8,46.9,61.7,19.1
453.5494221,48609,18.8,70.1,64.5,17.7
509.6,37443,20.2,48.0,53.7,25.7
630.4,32783,26.7,44.5,52.9,29.8
449.4,75714,9.2,63.3,78.3,9.4
420.8,43353,14.5,53.6,67.4,17.7
425.7,55008,9.5,57.0,71.6,14.4
466.8,52050,10.6,61.0,70.9,13.9
453.5494221,51175,14.7,61.9,69.2,15.3
383.2,39484,17.9,48.9,58.6,20.8
528.4,39807,19.0,52.0,63.4,21.7
414.6,38989,19.9,46.3,65.2,20.2
424.2,43986,22.3,43.6,59.2,21.3
429.3,73788,9.9,61.3,69.6,12.5
463.1,34267,32.4,44.8,76.1,13.2
453.5494221,42157,17.5,53.0,68.4,19.5
453.5494221,70535,9.8,64.0,76.4,2.6
453.5494221,46495,12.8,57.6,76.1,14.9
404.1,43344,15.0,63.5,57.2,14.4
403.0,53420,10.7,67.7,75.2,7.6
414.3,27481,47.4,46.5,22.3,43.3
467.9,34008,24.5,51.7,46.3,26.5
